date,price
25-Nov-16,24790
26-Nov-16,5120
27-Nov-16,3810
28-Nov-16,13945
29-Nov-16,11040
30-Nov-16,22600
1-Dec-16,12830
2-Dec-16,11510
3-Dec-16,3150
4-Dec-16,585
5-Dec-16,16170
6-Dec-16,7695
7-Dec-16,7350
8-Dec-16,7855
9-Dec-16,10125
10-Dec-16,10845
11-Dec-16,4900
12-Dec-16,10540
13-Dec-16,66380
14-Dec-16,26715
15-Dec-16,19985
16-Dec-16,12930
17-Dec-16,3905
18-Dec-16,6625
19-Dec-16,10040
20-Dec-16,15810
21-Dec-16,18020
22-Dec-16,34545
23-Dec-16,35270
24-Dec-16,16900
25-Dec-16,12530
26-Dec-16,9920
27-Dec-16,0
28-Dec-16,17920
29-Dec-16,23905
30-Dec-16,24665
31-Dec-16,11860
1-Jan-17,1435
2-Jan-17,3895
3-Jan-17,8270
4-Jan-17,11390
5-Jan-17,6545
6-Jan-17,6465
7-Jan-17,4895
8-Jan-17,3270
9-Jan-17,4305
10-Jan-17,10845
11-Jan-17,10510
12-Jan-17,11065
13-Jan-17,50525
14-Jan-17,7940
15-Jan-17,10510
16-Jan-17,18240
17-Jan-17,17600
18-Jan-17,3535
19-Jan-17,3585
20-Jan-17,13170
21-Jan-17,10160
22-Jan-17,4755
23-Jan-17,25650
24-Jan-17,21215
25-Jan-17,10495
26-Jan-17,12870
27-Jan-17,10755
28-Jan-17,4450
29-Jan-17,6445
30-Jan-17,15725
31-Jan-17,19975
1-Feb-17,13505
2-Feb-17,10020
3-Feb-17,12270
4-Feb-17,6975
5-Feb-17,4155
6-Feb-17,9675
7-Feb-17,14145
8-Feb-17,8195
9-Feb-17,8270
10-Feb-17,9245
11-Feb-17,3600
12-Feb-17,2880
13-Feb-17,15420
14-Feb-17,65600
15-Feb-17,22255
16-Feb-17,3150
17-Feb-17,8045
18-Feb-17,3985
19-Feb-17,2325
20-Feb-17,11170
21-Feb-17,19680
22-Feb-17,24650
23-Feb-17,9460
24-Feb-17,19220
25-Feb-17,3700
26-Feb-17,5310
27-Feb-17,19425
28-Feb-17,16265
1-Mar-17,9235
2-Mar-17,10805
3-Mar-17,6620
4-Mar-17,5190
5-Mar-17,2645
6-Mar-17,5965
7-Mar-17,14815
8-Mar-17,3510
9-Mar-17,8685
10-Mar-17,13765
11-Mar-17,7230
12-Mar-17,4670
13-Mar-17,12490
14-Mar-17,47575
15-Mar-17,23725
16-Mar-17,11620
17-Mar-17,6700
18-Mar-17,3135
19-Mar-17,3880
20-Mar-17,11800
21-Mar-17,20520
22-Mar-17,25805
23-Mar-17,15395
24-Mar-17,12425
25-Mar-17,5715
26-Mar-17,2485
27-Mar-17,9950
28-Mar-17,15875
29-Mar-17,12495
30-Mar-17,12685
31-Mar-17,14900
1-Apr-17,9380
2-Apr-17,3410
3-Apr-17,9360
4-Apr-17,7425
5-Apr-17,8725
6-Apr-17,9975
7-Apr-17,11970
8-Apr-17,3955
9-Apr-17,4220
10-Apr-17,9895
11-Apr-17,16295
12-Apr-17,84055
13-Apr-17,52920
14-Apr-17,24195
